year,sex,value,ageg,lid,decline
2023,1,4.735642555134811,q5_19,198,-1.3180568
2023,3,6.801031112670898,nnm,198,-1.5726862
2009,2,1.156979203224182,hgap,146,
2009,1,6.411881923675537,hgap,146,0
2009,3,3.863712310791016,hgap,146,5.2549028
2013,3,2.620580911636353,pnm,146,
2013,2,2.771014811280725,q5_19,146,
2013,3,2.018571138381958,nnm,146,-.61840796
2013,2,1.700281858444214,nnm,146,0
2013,1,5.552438936972659,q5_19,146,0
2013,1,2.318689823150635,nnm,146,
2013,3,4.20262174296715,q5_19,146,2.781424
2013,2,2.334667682647705,pnm,146,.26834917
2013,1,2.888930082321167,pnm,146,0
2018,3,92.72256000000004,math,146,0
2018,2,95.97884000000005,math,146,3.0053101
2018,1,89.71725000000004,math,146,
2019,2,.6229033470153809,hgap,146,2.7067332
2019,3,2.916700839996338,hgap,146,-.53407586
2019,1,5.091081619262695,hgap,146,1.7597216
2023,3,2.923758330898307,q5_19,146,.90977788
2023,2,1.222396373748779,pnm,146,-1.151678
2023,1,1.228163838386536,nnm,146,-1.2475902
2023,2,.905610978603363,nnm,146,-.30011868
2023,3,1.34946596622467,pnm,146,-.28591323
2023,3,1.071099638938904,nnm,146,-1.4130788
2023,2,2.123132465006505,q5_19,146,.15274352
2023,1,1.468902945518494,pnm,146,-1.2711149
2023,1,3.680792684628398,q5_19,146,1.4316069
2009,2,2.1435227394104,hgap,147,0
2009,3,2.732578277587891,hgap,147,
2009,1,3.301302909851074,hgap,147,-.58905554
2012,1,44.50646000000006,math,147,0
2012,3,50.05846000000008,math,147,
2012,2,55.65310000000005,math,147,-5.552
2013,1,2.626568515271765,q5_19,147,.50071841
2013,1,2.483660221099854,nnm,147,-.24836183
2013,1,2.285356283187866,pnm,147,
2013,3,2.041322946548462,pnm,147,-.50014079
2013,3,2.246259450912476,nnm,147,
2013,2,1.997897624969482,nnm,147,0
2013,2,1.648649222865339,q5_19,147,
2013,3,2.149367662853008,q5_19,147,0
2013,2,1.785215497016907,pnm,147,0
2019,1,4.689074993133545,hgap,147,1.4172235
2019,3,4.426713466644287,hgap,147,1.9564967
2019,2,4.149801731109619,hgap,147,.56872463
2022,2,78.85910000000007,math,147,21.158091
2022,1,71.21655000000004,math,147,5.5946398
2022,3,75.10088000000002,math,147,28.80064
2023,1,2.195685816414827,q5_19,147,-.28579623
2023,2,1.490807890892029,pnm,147,-.41411984
2023,3,1.686413168907166,pnm,147,-.79454839
2023,1,1.871236443519592,pnm,147,-.24403334
2023,3,2.196561336517334,nnm,147,.23740077
2023,2,1.970981478691101,nnm,147,.16728926
2023,2,1.3628529835783,q5_19,147,.97791928
2023,3,1.78939979115933,q5_19,147,.54703659
