year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,3,136.9803696870804,u20m,26,-.020528024,78.695107,42.550083,,3
2023,1,9.073843975890394,q5_19,9,-.013145261,6.3628345,29.87719,,3
2023,1,2.897496335208416,pnm,5,-.010360839,2.1904442,24.402174,,3
2019,3,166.2495727539063,hgap,10,.00048084589,168.74629,-1.5017899,,3
2023,2,6.381475020654448,q5_19,2,-.046562251,1.8152416,71.554512,,3
2019,3,171.0801239013672,hgap,20,.00027900338,172.56624,-.86866581,,3
2023,2,38.35476189851761,pnm,30,-.036667753,14.251318,62.843418,,3
2023,2,11.10756117850542,pnm,22,-.026082756,5.4925447,50.5513,,3
2023,1,19.09353397786617,pnm,8,-.024667747,9.8091984,48.625549,,3
2023,2,7.437630068688028,q5_19,24,-.056919795,1.5995427,78.493919,,3
2023,2,2.10799160413444,pnm,29,-.012151293,1.5183903,27.969812,,3
2023,3,13.96326813846827,nnm,2,-.029359816,6.3199744,54.738571,,3
2019,1,172.3994445800781,hgap,4,.00094062474,177.50052,-2.9588692,,3
2023,3,4.943491891026497,nnm,20,-.014260614,3.3636792,31.957426,,3
2023,3,22.01456762850285,u20m,21,-.021262072,12.399157,43.677494,,3
2023,2,2.417028124880205,q5_19,13,-.037101202,.88763583,63.275734,,3
2023,1,22.76835776865482,pnm,31,-.033706944,9.1640129,59.751102,,3
2023,2,2.309231553226709,nnm,7,-.008062291,1.8575027,19.561869,,3
2023,3,27.47105115249149,q5_19,30,-.029182764,12.493371,54.521687,,3
2019,1,173.2090606689453,hgap,6,-.00012793725,172.52347,.395818,,3
2019,2,158.5751953125,hgap,1,.00013210697,159.22594,-.41036782,,3
2019,2,157.9664154052734,hgap,16,-8.6159162e-06,157.92422,.026708558,,3
2023,1,6.448130588978529,u20m,19,-.010984459,4.7932558,25.664412,,3
2023,1,27.14587934315205,u20m,4,-.022293806,14.869208,45.224804,,3
2023,2,17.13131554424763,nnm,11,-.029919371,7.6376128,55.417244,,3
2019,1,174.4636383056641,hgap,17,.0015607916,183.11253,-4.9574199,,3
2023,1,4.858020038802646,q5_19,12,-.052661516,1.1720684,75.873535,,3
2019,3,160.8352203369141,hgap,14,.00020676934,161.86946,-.6430437,,3
2019,1,179.09033203125,hgap,19,.00037006708,181.15671,-1.1538175,,3
2019,2,163.4478149414063,hgap,5,.00038368965,165.40353,-1.1965404,,3
2023,1,10.75998973101377,nnm,6,-.019933196,6.2816854,41.619968,,3
2023,3,6.835442036390305,u20m,3,-.03373494,2.7491114,59.781513,,3
2023,3,7.310149725526571,pnm,9,-.031342141,3.1362441,57.097404,,3
2023,3,40.24339467287064,pnm,1,-.033013858,16.503487,58.990818,,3
2023,1,15.09289909154177,pnm,17,-.02694845,7.2908216,51.693699,,3
2023,2,38.05298358201981,u20m,8,-.018013328,23.397278,38.513947,,3
2023,2,1.442964572730854,q5_19,19,-.011589332,1.0552607,26.868568,,3
2023,1,9.234978817403316,pnm,10,-.04325616,2.8722107,68.898567,,3
2023,3,41.97390750050545,u20m,24,-.045353204,12.335875,70.610611,,3
2023,1,39.02379344076401,q5_19,16,-.022958705,20.995047,46.199371,,3
