year,age,sex,value,loc,heading1,heading2,lid
2000,7,3,115.7033767472688,Low-income countries,Aggregates,incomegr,
2019,18,2,156.9379373321802,Low-income countries,Aggregates,incomegr,
2019,9,2,128.2680148382211,Low-income countries,Aggregates,incomegr,
2010,13,3,149.1100805271365,Low-income countries,Aggregates,incomegr,
2019,16,2,155.7057871291348,Low-income countries,Aggregates,incomegr,
1990,16,2,155.3235552037746,Low-income countries,Aggregates,incomegr,
1985,7,2,116.8331079895124,Low-income countries,Aggregates,incomegr,
2010,15,1,159.6366192461495,Low-income countries,Aggregates,incomegr,
2019,19,1,168.9384544329782,Low-income countries,Aggregates,incomegr,
1985,8,1,120.4287313097808,Low-income countries,Aggregates,incomegr,
2010,15,3,156.9336754727793,Low-income countries,Aggregates,incomegr,
1985,15,3,157.152503803834,Low-income countries,Aggregates,incomegr,
1990,16,3,159.3156641267682,Low-income countries,Aggregates,incomegr,
1985,10,3,132.145603324622,Low-income countries,Aggregates,incomegr,
2000,7,2,116.6985919992969,Low-income countries,Aggregates,incomegr,
2019,5,3,105.6047579045069,Low-income countries,Aggregates,incomegr,
2010,16,3,159.0802648638767,Low-income countries,Aggregates,incomegr,
