year,sex,value,note_,lid
1975,1,16.92696952819824,,293
1975,2,12.96851253509521,,293
1975,3,14.99822616577148,,293
1976,1,15.96673202514648,,293
1976,2,13.1411190032959,,293
1976,3,14.5788106918335,,293
1977,1,16.07135772705078,,293
1977,2,11.6926908493042,,293
1977,3,13.92286109924316,,293
1978,1,12.61202812194824,,293
1978,2,9.778921127319336,,293
1978,3,11.24086093902588,,293
1979,1,13.57910442352295,,293
1979,2,11.49040508270264,,293
1979,3,12.5648365020752,,293
1980,1,14.94014644622803,,293
1980,2,10.18994426727295,,293
1980,3,12.63063430786133,,293
1981,1,12.05753040313721,,293
1981,2,10.38538551330566,,293
1981,3,11.23613357543945,,293
1982,1,12.29645538330078,,293
1982,2,9.526546478271484,,293
1982,3,10.95170879364014,,293
1983,1,12.14439392089844,,293
1983,2,8.705290794372559,,293
1983,3,10.47998905181885,,293
1984,1,10.47153377532959,,293
1984,2,7.659456729888916,,293
1984,3,9.115566253662109,,293
1985,1,12.44161415100098,,293
1985,2,8.927144050598145,,293
1985,3,10.72992610931396,,293
1986,1,10.81184196472168,,293
1986,2,8.97815990447998,,293
1986,3,9.925030708312988,,293
1987,1,10.51199054718018,,293
1987,2,8.107954978942871,,293
1987,3,9.344995498657227,,293
1988,1,11.14779949188232,,293
1988,2,8.747499465942383,,293
1988,3,9.982831954956055,,293
1989,1,9.895318031311035,,293
1989,2,7.820639610290527,,293
1989,3,8.878121376037598,,293
1990,1,10.56220817565918,,293
1990,2,7.441736698150635,,293
1990,3,9.047348022460938,,293
1991,1,9.336577415466309,,293
1991,2,8.217755317687988,,293
1991,3,8.797072410583496,,293
1992,1,10.05266761779785,,293
1992,2,6.773012161254883,,293
1992,3,8.458225250244141,,293
1993,1,9.074673652648926,,293
1993,2,6.890920639038086,,293
1993,3,8.007902145385742,,293
1994,1,8.229074478149414,,293
1994,2,6.353693962097168,,293
1994,3,7.3214430809021,,293
1995,1,8.108829498291016,,293
1995,2,4.934951782226563,,293
1995,3,6.562066078186035,,293
1996,1,6.822028160095215,,293
1996,2,5.674026489257813,,293
1996,3,6.253068923950195,,293
1997,1,6.63992166519165,,293
1997,2,4.954807758331299,,293
1997,3,5.832431793212891,,293
1998,1,6.231106281280518,,293
1998,2,5.332605361938477,,293
1998,3,5.79182767868042,,293
1999,1,5.1636962890625,,293
1999,2,3.62672233581543,,293
1999,3,4.425243854522705,,293
2000,1,6.001599788665771,,293
2000,2,4.036576747894287,,293
2000,3,5.054244995117188,,293
2001,1,5.672492980957031,,293
2001,2,5.30320405960083,,293
2001,3,5.5028076171875,,293
2002,1,5.613088607788086,,293
2002,2,4.175989151000977,,293
2002,3,4.914594173431396,,293
2003,1,5.452488422393799,,293
2003,2,3.786562442779541,,293
2003,3,4.644641876220703,,293
2004,1,4.974573612213135,,293
2004,2,4.475175857543945,,293
2004,3,4.724874019622803,,293
2005,1,4.714576244354248,,293
2005,2,3.296992778778076,,293
2005,3,4.025821685791016,,293
2006,1,4.684885501861572,,293
2006,2,3.467345476150513,,293
2006,3,4.086178302764893,,293
2007,1,4.97346830368042,,293
2007,2,3.62658953666687,,293
2007,3,4.315108776092529,,293
2008,1,3.946479320526123,,293
2008,2,3.27772068977356,,293
2008,3,3.607157468795776,,293
2009,1,5.084918022155762,,293
2009,2,3.477270603179932,,293
2009,3,4.31608772277832,,293
2010,1,5.053884029388428,,293
2010,2,3.087597608566284,,293
2010,3,4.105860710144043,,293
2011,1,3.597312450408936,,293
2011,2,2.318654298782349,,293
2011,3,2.977993011474609,,293
2012,1,4.256203174591064,,293
2012,2,3.207750558853149,,293
2012,3,3.746977090835571,,293
2013,1,3.916601419448853,,293
2013,2,3.348039865493774,,293
2013,3,3.637323141098022,,293
2014,1,4.456073760986328,,293
2014,2,3.906417846679688,,293
2014,3,4.176235675811768,,293
2015,1,4.086693286895752,,293
2015,2,3.497246503829956,,293
2015,3,3.806922674179077,,293
2016,1,4.096841335296631,,293
2016,2,3.836483001708984,,293
2016,3,3.976598262786865,,293
2017,1,4.38622522354126,,293
2017,2,3.767897129058838,,293
2017,3,4.087059497833252,,293
2018,1,4.615037441253662,,293
2018,2,3.358201503753662,,293
2018,3,3.986760377883911,,293
2019,1,4.90579080581665,,293
2019,2,3.217757940292358,,293
2019,3,4.08680534362793,,293
2020,1,3.548474550247192,,293
2020,2,3.487958192825317,,293
2020,3,3.518206119537354,,293
2021,1,3.987674474716187,,293
2021,2,3.218658208847046,,293
2021,3,3.608209133148193,,293
1901,1,231.8436737060547,,294
1901,2,204.7107086181641,,294
1901,3,218.3890075683594,,294
1902,1,213.1234588623047,,294
1902,2,184.6752777099609,,294
1902,3,199.0924682617188,,294
1903,1,216.3959808349609,,294
1903,2,191.5621337890625,,294
1903,3,204.0974273681641,,294
1904,1,224.9231567382813,,294
1904,2,194.3252868652344,,294
1904,3,209.8567199707031,,294
1905,1,211.6064910888672,,294
1905,2,182.6872711181641,,294
1905,3,197.3151092529297,,294
1906,1,225.5252227783203,,294
1906,2,197.4946746826172,,294
1906,3,211.6578063964844,,294
1907,1,219.6665496826172,,294
1907,2,195.7379760742188,,294
1907,3,207.8244781494141,,294
1908,1,197.3714599609375,,294
1908,2,172.0241088867188,,294
1908,3,184.8791198730469,,294
1909,1,180.0373992919922,,294
1909,2,152.4262847900391,,294
1909,3,166.4946594238281,,294
1910,1,177.244384765625,,294
1910,2,155.6618804931641,,294
1910,3,166.5814666748047,,294
1911,1,229.3538055419922,,294
1911,2,208.0008087158203,,294
